10, 2; 10, 2; 10, 2; 10, 2; 10, 2;  192 Начальное решение
10, 2; 10, 2; 4, 2, 2, 2, 2; 10, 2; 4, 2, 2, 2, 2;  192
10, 2; 10, 2; 10, 2; 4, 2, 2, 2, 2; 4, 2, 2, 2, 2;  192
окрестность 1 вида
3, 3, 2, 2, 2; 10, 2; 10, 2; 10, 2; 10, 2;  192
10, 2; 3, 3, 2, 2, 2; 10, 2; 10, 2; 10, 2;  192
10, 2; 10, 2; 3, 3, 2, 2, 2; 10, 2; 10, 2;  192
10, 2; 10, 2; 10, 2; 3, 3, 2, 2, 2; 10, 2;  192
10, 2; 10, 2; 10, 2; 10, 2; 3, 3, 2, 2, 2;  192
комбинации типов
3, 3, 2, 2, 2; 3, 3, 2, 2, 2; 10, 2; 10, 2; 10, 2;  192
3, 3, 2, 2, 2; 10, 2; 3, 3, 2, 2, 2; 10, 2; 10, 2;  192
3, 3, 2, 2, 2; 10, 2; 10, 2; 3, 3, 2, 2, 2; 10, 2;  192
3, 3, 2, 2, 2; 10, 2; 10, 2; 10, 2; 3, 3, 2, 2, 2;  192
10, 2; 3, 3, 2, 2, 2; 3, 3, 2, 2, 2; 10, 2; 10, 2;  192
10, 2; 3, 3, 2, 2, 2; 10, 2; 3, 3, 2, 2, 2; 10, 2;  192
10, 2; 3, 3, 2, 2, 2; 10, 2; 10, 2; 3, 3, 2, 2, 2;  192
10, 2; 10, 2; 3, 3, 2, 2, 2; 3, 3, 2, 2, 2; 10, 2;  192
10, 2; 10, 2; 3, 3, 2, 2, 2; 10, 2; 3, 3, 2, 2, 2;  192
10, 2; 10, 2; 10, 2; 3, 3, 2, 2, 2; 3, 3, 2, 2, 2;  192
окрестность 1 вида
2, 2, 2, 2, 2, 2; 10, 2; 10, 2; 10, 2; 10, 2;  184 +
10, 2; 2, 2, 2, 2, 2, 2; 10, 2; 10, 2; 10, 2;  192
10, 2; 10, 2; 2, 2, 2, 2, 2, 2; 10, 2; 10, 2;  192
10, 2; 10, 2; 10, 2; 2, 2, 2, 2, 2, 2; 10, 2;  192
10, 2; 10, 2; 10, 2; 10, 2; 2, 2, 2, 2, 2, 2;  192
окрестность 1 вида
2, 2, 2, 2, 2, 2; 9, 3; 10, 2; 10, 2; 10, 2;  184
2, 2, 2, 2, 2, 2; 10, 2; 9, 3; 10, 2; 10, 2;  184
2, 2, 2, 2, 2, 2; 10, 2; 10, 2; 9, 3; 10, 2;  184
2, 2, 2, 2, 2, 2; 10, 2; 10, 2; 10, 2; 9, 3;  184
комбинации типов
2, 2, 2, 2, 2, 2; 9, 3; 9, 3; 10, 2; 10, 2;  184
2, 2, 2, 2, 2, 2; 9, 3; 10, 2; 9, 3; 10, 2;  184
2, 2, 2, 2, 2, 2; 9, 3; 10, 2; 10, 2; 9, 3;  184
2, 2, 2, 2, 2, 2; 10, 2; 9, 3; 9, 3; 10, 2;  184
2, 2, 2, 2, 2, 2; 10, 2; 9, 3; 10, 2; 9, 3;  184
2, 2, 2, 2, 2, 2; 10, 2; 10, 2; 9, 3; 9, 3;  184
окрестность 1 вида
2, 2, 2, 2, 2, 2; 8, 4; 10, 2; 10, 2; 10, 2;  184
